"","total_fat","total_chol"
"MEblack",-0.42860606180508,-0.284666270645184
"MEblue",-0.190114442130483,-0.12357542785687
"MEbrown",0.394601349894355,0.408228038185834
"MEcyan",-0.127698817701728,-0.0994285629807058
"MEgrey",0.112714602806201,-0.064863805118059
"MElightcyan",0.420347755809555,0.316427261610747
"MEmagenta",-0.419017065760794,-0.123943548988901
"MEmidnightblue",0.114758066287209,0.176853075836382
"MEpink",0.424940951135267,0.278297689587763
"MEred",-0.0736849774216073,-0.226514139793542
"MEsalmon",-0.234804545527745,-0.0953749683079598
"MEtan",-0.3223764087338,-0.143373868731517
"MEturquoise",0.282140468901159,0.138574904846006
